Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
FLA,Aaron Ekblad,Jonah Gadjovich,1.0,1,7,Aaron Ekblad-Jonah Gadjovich,0.07,4.0,18.0
CAR,Jaccob Slavin,Tyson Jost,1.0,1,7,Jaccob Slavin-Tyson Jost,,,
CAR,Eric Robinson,Tyson Jost,1.0,1,9,Eric Robinson-Tyson Jost,,,
CAR,Jesperi Kotkaniemi,Tyson Jost,1.0,1,10,Jesperi Kotkaniemi-Tyson Jost,,,
CAR,Sean Walker,Tyson Jost,1.0,1,3,Sean Walker-Tyson Jost,,,
STL,Kasperi Kapanen,Pierre-Olivier Joseph,1.0,1,1,Kasperi Kapanen-Pierre-Olivier Joseph,,,
STL,Alexey Toropchenko,Radek Faksa,1.0,4,4,Alexey Toropchenko-Radek Faksa,,,
STL,Kasperi Kapanen,Zack Bolduc,1.0,4,1,Kasperi Kapanen-Zack Bolduc,,,
STL,Brandon Saad,Robert Thomas,1.0,6,8,Brandon Saad-Robert Thomas,0.07,42.0,86.0
WSH,Andrew Mangiapane,Michael Sgarbossa,1.0,7,2,Andrew Mangiapane-Michael Sgarbossa,,,
CAR,Jack Drury,Tyson Jost,1.0,6,1,Jack Drury-Tyson Jost,,,
WSH,Connor McMichael,Michael Sgarbossa,1.0,19,2,Connor McMichael-Michael Sgarbossa,0.16,33.0,7.0
STL,Kasperi Kapanen,Mathieu Joseph,1.0,4,1,Kasperi Kapanen-Mathieu Joseph,,,
TBL,Cam Atkinson,J.J. Moser,1.0,1,6,Cam Atkinson-J.J. Moser,,,
EDM,Evan Bouchard,Noah Philp,1.0,1,10,Evan Bouchard-Noah Philp,,,
MTL,Arber Xhekaj,Lucas Condotta,1.0,1,1,Arber Xhekaj-Lucas Condotta,,,
MTL,Joel Armia,Lucas Condotta,1.0,8,1,Joel Armia-Lucas Condotta,,,
NYI,Alexander Romanov,Ryan Pulock,1.0,7,2,Alexander Romanov-Ryan Pulock,0.02,19.0,22.0
COL,John Ludvig,Samuel Girard,1.0,10,2,John Ludvig-Samuel Girard,,,
EDM,Drake Caggiula,Viktor Arvidsson,1.0,5,1,Drake Caggiula-Viktor Arvidsson,,,
EDM,Noah Philp,Viktor Arvidsson,1.0,5,1,Noah Philp-Viktor Arvidsson,,,
EDM,Drake Caggiula,Mattias Ekholm,1.0,1,10,Drake Caggiula-Mattias Ekholm,,,
EDM,Drake Caggiula,Evan Bouchard,1.0,1,10,Drake Caggiula-Evan Bouchard,,,
WSH,Michael Sgarbossa,Pierre-Luc Dubois,1.0,11,2,Michael Sgarbossa-Pierre-Luc Dubois,,,
CGY,Tyson Barrie,Yegor Sharangovich,1.0,2,2,Tyson Barrie-Yegor Sharangovich,,,
WSH,Dylan Strome,Michael Sgarbossa,1.0,2,24,Dylan Strome-Michael Sgarbossa,-0.12,7.0,67.0
WSH,Jakob Chychrun,Michael Sgarbossa,1.0,2,7,Jakob Chychrun-Michael Sgarbossa,,,
WSH,Martin Fehervary,Michael Sgarbossa,1.0,2,3,Martin Fehervary-Michael Sgarbossa,0.0,7.0,16.0
PHI,Nicolas Deslauriers,Ryan Poehling,1.0,1,6,Nicolas Deslauriers-Ryan Poehling,0.22,4.0,28.0
WSH,John Carlson,Michael Sgarbossa,1.0,2,12,John Carlson-Michael Sgarbossa,0.32,7.0,52.0
LAK,Kyle Burroughs,Mikey Anderson,1.0,7,1,Kyle Burroughs-Mikey Anderson,,,
DAL,Brendan Smith,Esa Lindell,1.0,7,3,Brendan Smith-Esa Lindell,,,
ANA,Robby Fabbri,Urho Vaakanainen,1.0,2,1,Robby Fabbri-Urho Vaakanainen,,,
NSH,Alexandre Carrier,Philip Tomasino,1.0,1,5,Alexandre Carrier-Philip Tomasino,,,
ANA,Cutter Gauthier,Jansen Harkins,1.0,6,1,Cutter Gauthier-Jansen Harkins,,,
NSH,Colton Sissons,Marc Del Gaizo,1.0,2,3,Colton Sissons-Marc Del Gaizo,,,
EDM,Mattias Ekholm,Noah Philp,1.0,1,10,Mattias Ekholm-Noah Philp,,,
EDM,Derek Ryan,Ty Emberson,1.0,1,1,Derek Ryan-Ty Emberson,,,
EDM,Corey Perry,Noah Philp,1.0,4,1,Corey Perry-Noah Philp,,,
EDM,Corey Perry,Drake Caggiula,1.0,1,4,Corey Perry-Drake Caggiula,,,
EDM,Drake Caggiula,Noah Philp,1.0,1,1,Drake Caggiula-Noah Philp,,,
MTL,Jayden Struble,Kaiden Guhle,1.0,5,3,Jayden Struble-Kaiden Guhle,,,
VAN,Aatu Raty,Daniel Sprong,1.0,3,1,Aatu Raty-Daniel Sprong,,,
NYR,Jonny Brodzinski,Sam Carrick,1.0,2,4,Jonny Brodzinski-Sam Carrick,,,
NYR,Jimmy Vesey,Sam Carrick,1.0,4,2,Jimmy Vesey-Sam Carrick,,,
VAN,Derek Forbort,Teddy Blueger,1.0,9,1,Derek Forbort-Teddy Blueger,,,
NSH,Juuso Parssinen,Tommy Novak,1.0,4,5,Juuso Parssinen-Tommy Novak,,,
NSH,Michael McCarron,Zachary L'Heureux,1.0,3,3,Michael McCarron-Zachary L'Heureux,,,
NYI,Bo Horvat,Mathew Barzal,1.0,5,14,Bo Horvat-Mathew Barzal,0.47,80.0,68.0
MIN,Jon Merrill,Yakov Trenin,1.0,1,1,Jon Merrill-Yakov Trenin,,,
ANA,Jansen Harkins,Ross Johnston,1.0,1,3,Jansen Harkins-Ross Johnston,,,
ANA,Jansen Harkins,Trevor Zegras,1.0,1,4,Jansen Harkins-Trevor Zegras,,,
ANA,Jackson LaCombe,Jansen Harkins,1.0,1,3,Jackson LaCombe-Jansen Harkins,,,
VGK,Mark Stone,William Karlsson,1.0,9,21,Mark Stone-William Karlsson,0.39,60.0,53.0
ANA,Brett Leason,Cam Fowler,1.0,4,2,Brett Leason-Cam Fowler,,,
VAN,Filip Hronek,Jonathan Lekkerimaki,1.0,1,6,Filip Hronek-Jonathan Lekkerimaki,,,
VAN,Jonathan Lekkerimaki,Tyler Myers,1.0,1,3,Jonathan Lekkerimaki-Tyler Myers,,,
SEA,Chandler Stephenson,Jaden Schwartz,0.95,10,10,Chandler Stephenson-Jaden Schwartz,,,
SEA,Chandler Stephenson,Joshua Mahura,0.94,10,1,Chandler Stephenson-Joshua Mahura,,,
ANA,Jansen Harkins,Olen Zellweger,0.94,1,7,Jansen Harkins-Olen Zellweger,,,
COL,Artturi Lehkonen,Nathan MacKinnon,0.94,6,33,Artturi Lehkonen-Nathan MacKinnon,0.25,34.0,140.0
COL,Miles Wood,Parker Kelly,0.94,3,2,Miles Wood-Parker Kelly,,,
FLA,Adam Boqvist,Matthew Tkachuk,0.93,11,2,Adam Boqvist-Matthew Tkachuk,,,
NYI,Alexander Romanov,Brock Nelson,0.93,10,2,Alexander Romanov-Brock Nelson,0.22,69.0,22.0
CBJ,Dmitri Voronkov,Ivan Provorov,0.93,3,5,Dmitri Voronkov-Ivan Provorov,0.09,34.0,32.0
NSH,Luke Evangelista,Tommy Novak,0.92,8,4,Luke Evangelista-Tommy Novak,0.37,39.0,45.0
NYI,Anthony Duclair,Simon Holmstrom,0.92,3,8,Anthony Duclair-Simon Holmstrom,,,
PHI,Bobby Brink,Nick Seeler,0.92,8,5,Bobby Brink-Nick Seeler,,,
SEA,Brandon Montour,Joshua Mahura,0.92,11,1,Brandon Montour-Joshua Mahura,,,
CHI,TJ Brodie,Teuvo Teravainen,0.91,8,2,TJ Brodie-Teuvo Teravainen,,,
PHI,Noah Cates,Sean Couturier,0.9,2,9,Noah Cates-Sean Couturier,-0.17,18.0,38.0
UTA,Lawson Crouse,Sean Durzi,0.9,4,2,Lawson Crouse-Sean Durzi,,,
UTA,Dylan Guenther,Sean Durzi,0.9,14,2,Dylan Guenther-Sean Durzi,,,
UTA,Logan Cooley,Sean Durzi,0.9,12,2,Logan Cooley-Sean Durzi,,,
UTA,Mikhail Sergachev,Sean Durzi,0.9,2,12,Mikhail Sergachev-Sean Durzi,,,
WSH,Dylan McIlrath,Pierre-Luc Dubois,0.9,11,2,Dylan McIlrath-Pierre-Luc Dubois,,,
DAL,Brendan Smith,Mason Marchment,0.9,17,3,Brendan Smith-Mason Marchment,,,
PHI,Sean Couturier,Travis Konecny,0.89,9,22,Sean Couturier-Travis Konecny,0.1,38.0,68.0
SEA,Jamie Oleksiak,Joshua Mahura,0.89,1,5,Jamie Oleksiak-Joshua Mahura,,,
FLA,Aleksander Barkov,Mackie Samoskevich,0.89,17,5,Aleksander Barkov-Mackie Samoskevich,,80.0,0.0
COL,Artturi Lehkonen,Mikko Rantanen,0.89,6,25,Artturi Lehkonen-Mikko Rantanen,0.07,34.0,104.0
COL,Artturi Lehkonen,Cale Makar,0.89,6,25,Artturi Lehkonen-Cale Makar,0.1,34.0,90.0
STL,Mathieu Joseph,Pierre-Olivier Joseph,0.88,4,1,Mathieu Joseph-Pierre-Olivier Joseph,,,
CBJ,Dmitri Voronkov,Mathieu Olivier,0.88,7,3,Dmitri Voronkov-Mathieu Olivier,-0.1,12.0,34.0
DAL,Brendan Smith,Oskar Bäck,0.88,3,3,Brendan Smith-Oskar Bäck,,,
CBJ,Dmitri Voronkov,Jake Christiansen,0.88,3,5,Dmitri Voronkov-Jake Christiansen,,,
CBJ,Cole Sillinger,Dmitri Voronkov,0.88,9,3,Cole Sillinger-Dmitri Voronkov,-0.03,32.0,34.0
LAK,Brandt Clarke,Kyle Burroughs,0.88,1,13,Brandt Clarke-Kyle Burroughs,,,
PHI,Nicolas Deslauriers,Travis Sanheim,0.88,1,11,Nicolas Deslauriers-Travis Sanheim,-0.13,4.0,44.0
SEA,Jaden Schwartz,Joshua Mahura,0.87,10,1,Jaden Schwartz-Joshua Mahura,,,
