Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
WSH,Aliaksei Protas,Matt Roy,1.0,12,1,Aliaksei Protas-Matt Roy
FLA,Eetu Luostarinen,Tomas Nosek,1.0,7,1,Eetu Luostarinen-Tomas Nosek
WSH,Martin Fehervary,Matt Roy,1.0,2,1,Martin Fehervary-Matt Roy
OTT,Noah Gregor,Zack Ostapchuk,1.0,2,1,Noah Gregor-Zack Ostapchuk
OTT,Josh Norris,Zack Ostapchuk,1.0,8,1,Josh Norris-Zack Ostapchuk
NYI,Bo Horvat,Mathew Barzal,1.0,5,9,Bo Horvat-Mathew Barzal
NSH,Alexandre Carrier,Philip Tomasino,1.0,1,5,Alexandre Carrier-Philip Tomasino
NSH,Colton Sissons,Marc Del Gaizo,1.0,1,1,Colton Sissons-Marc Del Gaizo
OTT,Jake Sanderson,Zack Ostapchuk,1.0,1,8,Jake Sanderson-Zack Ostapchuk
OTT,Brady Tkachuk,Zack Ostapchuk,1.0,1,16,Brady Tkachuk-Zack Ostapchuk
COL,Joel Kiviranta,John Ludvig,1.0,4,1,Joel Kiviranta-John Ludvig
COL,Calvin de Haan,Parker Kelly,1.0,1,1,Calvin de Haan-Parker Kelly
COL,Miles Wood,Parker Kelly,1.0,1,1,Miles Wood-Parker Kelly
CGY,Tyson Barrie,Yegor Sharangovich,1.0,1,1,Tyson Barrie-Yegor Sharangovich
STL,Kasperi Kapanen,Pierre-Olivier Joseph,1.0,1,1,Kasperi Kapanen-Pierre-Olivier Joseph
STL,Brandon Saad,Robert Thomas,1.0,5,6,Brandon Saad-Robert Thomas
NSH,Alexandre Carrier,Juuso Parssinen,1.0,2,5,Alexandre Carrier-Juuso Parssinen
NSH,Juuso Parssinen,Tommy Novak,1.0,4,2,Juuso Parssinen-Tommy Novak
NSH,Marc Del Gaizo,Zachary L'Heureux,1.0,2,1,Marc Del Gaizo-Zachary L'Heureux
NSH,Michael McCarron,Zachary L'Heureux,1.0,2,2,Michael McCarron-Zachary L'Heureux
CHI,Jason Dickinson,Joey Anderson,1.0,1,4,Jason Dickinson-Joey Anderson
CHI,Joey Anderson,Tyler Bertuzzi,1.0,1,5,Joey Anderson-Tyler Bertuzzi
NSH,Juuso Parssinen,Mark Jankowski,1.0,1,2,Juuso Parssinen-Mark Jankowski
SJS,Barclay Goodrow,Jan Rutta,1.0,1,1,Barclay Goodrow-Jan Rutta
SJS,Jan Rutta,Macklin Celebrini,1.0,2,1,Jan Rutta-Macklin Celebrini
SJS,Macklin Celebrini,Tyler Toffoli,1.0,2,11,Macklin Celebrini-Tyler Toffoli
SJS,Macklin Celebrini,Mikael Granlund,1.0,2,14,Macklin Celebrini-Mikael Granlund
SJS,Barclay Goodrow,Macklin Celebrini,1.0,2,1,Barclay Goodrow-Macklin Celebrini
SJS,Macklin Celebrini,William Eklund,1.0,2,9,Macklin Celebrini-William Eklund
EDM,Drake Caggiula,Mattias Ekholm,1.0,1,9,Drake Caggiula-Mattias Ekholm
EDM,Drake Caggiula,Evan Bouchard,1.0,1,7,Drake Caggiula-Evan Bouchard
EDM,Drake Caggiula,Noah Philp,1.0,1,1,Drake Caggiula-Noah Philp
EDM,Corey Perry,Drake Caggiula,1.0,1,3,Corey Perry-Drake Caggiula
EDM,Noah Philp,Viktor Arvidsson,1.0,4,1,Noah Philp-Viktor Arvidsson
EDM,Drake Caggiula,Viktor Arvidsson,1.0,4,1,Drake Caggiula-Viktor Arvidsson
ANA,Isac Lundestrom,Jackson LaCombe,1.0,2,1,Isac Lundestrom-Jackson LaCombe
ANA,Brett Leason,Cam Fowler,1.0,1,2,Brett Leason-Cam Fowler
COL,John Ludvig,Samuel Girard,1.0,6,1,John Ludvig-Samuel Girard
STL,Kasperi Kapanen,Mathieu Joseph,1.0,4,1,Kasperi Kapanen-Mathieu Joseph
COL,Calvin de Haan,Miles Wood,1.0,1,1,Calvin de Haan-Miles Wood
STL,Kasperi Kapanen,Zack Bolduc,1.0,4,1,Kasperi Kapanen-Zack Bolduc
SEA,Jamie Oleksiak,Joshua Mahura,1.0,1,4,Jamie Oleksiak-Joshua Mahura
STL,Oskar Sundqvist,Radek Faksa,1.0,2,1,Oskar Sundqvist-Radek Faksa
EDM,Mattias Ekholm,Noah Philp,1.0,1,9,Mattias Ekholm-Noah Philp
EDM,Evan Bouchard,Noah Philp,1.0,1,7,Evan Bouchard-Noah Philp
EDM,Corey Perry,Noah Philp,1.0,3,1,Corey Perry-Noah Philp
STL,Alexey Toropchenko,Radek Faksa,1.0,2,2,Alexey Toropchenko-Radek Faksa
ANA,Pavel Mintyukov,Robby Fabbri,1.0,1,2,Pavel Mintyukov-Robby Fabbri
NSH,Juuso Parssinen,Luke Evangelista,1.0,6,2,Juuso Parssinen-Luke Evangelista
CHI,Isaak Phillips,Taylor Hall,1.0,6,1,Isaak Phillips-Taylor Hall
CHI,Connor Bedard,Isaak Phillips,1.0,12,1,Connor Bedard-Isaak Phillips
MIN,Jon Merrill,Yakov Trenin,1.0,1,1,Jon Merrill-Yakov Trenin
LAK,Kyle Burroughs,Mikey Anderson,1.0,6,1,Kyle Burroughs-Mikey Anderson
NYR,Mika Zibanejad,Zac Jones,1.0,10,2,Mika Zibanejad-Zac Jones
NYR,Jonny Brodzinski,Sam Carrick,1.0,2,2,Jonny Brodzinski-Sam Carrick
TBL,Emil Lilleberg,J.J. Moser,1.0,2,6,Emil Lilleberg-J.J. Moser
CHI,Isaak Phillips,Philipp Kurashev,1.0,3,1,Isaak Phillips-Philipp Kurashev
DET,Jonatan Berggren,Marco Kasper,1.0,1,1,Jonatan Berggren-Marco Kasper
CHI,Isaak Phillips,Teuvo Teravainen,1.0,8,1,Isaak Phillips-Teuvo Teravainen
FLA,Aleksander Barkov,Jonah Gadjovich,1.0,8,1,Aleksander Barkov-Jonah Gadjovich
WPG,Morgan Barron,Rasmus Kupari,1.0,1,1,Morgan Barron-Rasmus Kupari
FLA,Jonah Gadjovich,Uvis Balinskis,1.0,1,2,Jonah Gadjovich-Uvis Balinskis
VGK,Mark Stone,William Karlsson,1.0,6,21,Mark Stone-William Karlsson
PHI,Bobby Brink,Nick Seeler,1.0,5,3,Bobby Brink-Nick Seeler
FLA,Matthew Tkachuk,Tomas Nosek,1.0,1,8,Matthew Tkachuk-Tomas Nosek
FLA,Aaron Ekblad,Jonah Gadjovich,1.0,1,6,Aaron Ekblad-Jonah Gadjovich
FLA,Tomas Nosek,Uvis Balinskis,1.0,1,2,Tomas Nosek-Uvis Balinskis
PHI,Nicolas Deslauriers,Ryan Poehling,1.0,1,5,Nicolas Deslauriers-Ryan Poehling
PHI,Garnet Hathaway,Nicolas Deslauriers,1.0,1,5,Garnet Hathaway-Nicolas Deslauriers
PHI,Joel Farabee,Nicolas Deslauriers,1.0,1,6,Joel Farabee-Nicolas Deslauriers
PHI,Noah Cates,Rasmus Ristolainen,1.0,1,2,Noah Cates-Rasmus Ristolainen
TOR,Nicholas Robertson,Simon Benoit,1.0,1,1,Nicholas Robertson-Simon Benoit
PIT,Blake Lizotte,Kris Letang,1.0,1,5,Blake Lizotte-Kris Letang
PIT,Blake Lizotte,Lars Eller,1.0,7,1,Blake Lizotte-Lars Eller
NJD,Justin Dowling,Nathan Bastian,1.0,5,1,Justin Dowling-Nathan Bastian
TBL,Cam Atkinson,J.J. Moser,1.0,1,6,Cam Atkinson-J.J. Moser
TBL,Cam Atkinson,Emil Lilleberg,1.0,1,2,Cam Atkinson-Emil Lilleberg
VAN,Aatu Raty,Filip Hronek,1.0,1,3,Aatu Raty-Filip Hronek
PHI,Garnet Hathaway,Ryan Poehling,1.0,5,5,Garnet Hathaway-Ryan Poehling
PHI,Emil Andrae,Tyson Foerster,1.0,3,1,Emil Andrae-Tyson Foerster
NJD,Justin Dowling,Tomas Tatar,1.0,1,5,Justin Dowling-Tomas Tatar
NJD,Justin Dowling,Ondrej Palat,1.0,1,3,Justin Dowling-Ondrej Palat
NJD,Jack Hughes,Justin Dowling,1.0,1,12,Jack Hughes-Justin Dowling
VAN,Aatu Raty,Daniel Sprong,1.0,3,1,Aatu Raty-Daniel Sprong
VAN,Derek Forbort,Teddy Blueger,1.0,6,1,Derek Forbort-Teddy Blueger
SEA,Joshua Mahura,Oliver Bjorkstrand,1.0,5,1,Joshua Mahura-Oliver Bjorkstrand
OTT,Claude Giroux,Zack Ostapchuk,1.0,11,1,Claude Giroux-Zack Ostapchuk
OTT,Drake Batherson,Zack Ostapchuk,1.0,12,1,Drake Batherson-Zack Ostapchuk
NYI,Alexander Romanov,Ryan Pulock,1.0,4,2,Alexander Romanov-Ryan Pulock
STL,Matthew Kessel,Oskar Sundqvist,1.0,1,1,Matthew Kessel-Oskar Sundqvist
STL,Alexey Toropchenko,Oskar Sundqvist,1.0,1,2,Alexey Toropchenko-Oskar Sundqvist
UTA,Jack McBain,Maveric Lamoureux,1.0,5,2,Jack McBain-Maveric Lamoureux
UTA,Alexander Kerfoot,Maveric Lamoureux,1.0,4,2,Alexander Kerfoot-Maveric Lamoureux
WSH,Alex Ovechkin,Matt Roy,1.0,16,1,Alex Ovechkin-Matt Roy
SEA,Chandler Stephenson,Jaden Schwartz,0.99,9,8,Chandler Stephenson-Jaden Schwartz
SEA,Chandler Stephenson,Joshua Mahura,0.97,9,1,Chandler Stephenson-Joshua Mahura
SEA,Brandon Montour,Joshua Mahura,0.95,1,10,Brandon Montour-Joshua Mahura
SEA,Jaden Schwartz,Joshua Mahura,0.95,8,1,Jaden Schwartz-Joshua Mahura
NJD,Justin Dowling,Nico Hischier,0.94,1,16,Justin Dowling-Nico Hischier
SEA,Jaden Schwartz,Oliver Bjorkstrand,0.93,5,8,Jaden Schwartz-Oliver Bjorkstrand
VGK,Ivan Barbashev,Jack Eichel,0.93,15,19,Ivan Barbashev-Jack Eichel
SEA,Jamie Oleksiak,Oliver Bjorkstrand,0.93,5,4,Jamie Oleksiak-Oliver Bjorkstrand
NYI,Alexander Romanov,Brock Nelson,0.93,7,2,Alexander Romanov-Brock Nelson
COL,Chris Wagner,Nathan MacKinnon,0.93,25,1,Chris Wagner-Nathan MacKinnon
FLA,A.J. Greer,Evan Rodrigues,0.93,4,6,A.J. Greer-Evan Rodrigues
FLA,Adam Boqvist,Matthew Tkachuk,0.93,8,2,Adam Boqvist-Matthew Tkachuk
VAN,Danton Heinen,Erik Brannstrom,0.93,6,2,Danton Heinen-Erik Brannstrom
WPG,Alex Iafallo,Vladislav Namestnikov,0.92,4,9,Alex Iafallo-Vladislav Namestnikov
PHI,Nicolas Deslauriers,Travis Sanheim,0.92,1,6,Nicolas Deslauriers-Travis Sanheim
NSH,Luke Evangelista,Tommy Novak,0.92,6,4,Luke Evangelista-Tommy Novak
NYI,Anthony Duclair,Simon Holmstrom,0.92,3,5,Anthony Duclair-Simon Holmstrom
PHI,Sean Couturier,Travis Konecny,0.92,8,14,Sean Couturier-Travis Konecny
SEA,Brandon Montour,Chandler Stephenson,0.91,9,10,Brandon Montour-Chandler Stephenson
PHI,Noah Cates,Sean Couturier,0.91,1,8,Noah Cates-Sean Couturier
PHI,Rasmus Ristolainen,Sean Couturier,0.91,8,2,Rasmus Ristolainen-Sean Couturier
CHI,TJ Brodie,Teuvo Teravainen,0.91,8,2,TJ Brodie-Teuvo Teravainen
WSH,Andrew Mangiapane,Jakob Chychrun,0.91,4,4,Andrew Mangiapane-Jakob Chychrun
UTA,Logan Cooley,Sean Durzi,0.9,10,2,Logan Cooley-Sean Durzi
SEA,Chandler Stephenson,Oliver Bjorkstrand,0.9,5,9,Chandler Stephenson-Oliver Bjorkstrand
UTA,Lawson Crouse,Sean Durzi,0.9,4,2,Lawson Crouse-Sean Durzi
UTA,Dylan Guenther,Sean Durzi,0.9,10,2,Dylan Guenther-Sean Durzi
UTA,Mikhail Sergachev,Sean Durzi,0.9,2,9,Mikhail Sergachev-Sean Durzi
WSH,Dylan McIlrath,Pierre-Luc Dubois,0.9,7,2,Dylan McIlrath-Pierre-Luc Dubois
SJS,Cody Ceci,Will Smith,0.89,3,2,Cody Ceci-Will Smith
DAL,Esa Lindell,Ilya Lyubushkin,0.89,3,2,Esa Lindell-Ilya Lyubushkin
MIN,Declan Chisholm,Marcus Foligno,0.88,3,1,Declan Chisholm-Marcus Foligno
OTT,Tim Stützle,Zack Ostapchuk,0.88,1,17,Tim Stützle-Zack Ostapchuk
ANA,Cutter Gauthier,Jackson LaCombe,0.88,4,1,Cutter Gauthier-Jackson LaCombe
LAK,Brandt Clarke,Kyle Burroughs,0.88,1,12,Brandt Clarke-Kyle Burroughs
FLA,Aleksander Barkov,Mackie Samoskevich,0.88,8,3,Aleksander Barkov-Mackie Samoskevich
PHI,Nick Seeler,Noah Cates,0.88,1,3,Nick Seeler-Noah Cates
TOR,John Tavares,Max Pacioretty,0.88,6,11,John Tavares-Max Pacioretty
FLA,Evan Rodrigues,Jonah Gadjovich,0.88,1,6,Evan Rodrigues-Jonah Gadjovich
PHI,Nick Seeler,Rasmus Ristolainen,0.88,2,3,Nick Seeler-Rasmus Ristolainen
LAK,Andreas Englund,Vladislav Gavrikov,0.88,1,5,Andreas Englund-Vladislav Gavrikov
STL,Mathieu Joseph,Pierre-Olivier Joseph,0.88,4,1,Mathieu Joseph-Pierre-Olivier Joseph
SJS,Henry Thrun,Jake Walman,0.87,1,9,Henry Thrun-Jake Walman
